gender,articleType,baseColour,image
Men,Shirts,Navy Blue,15970.jpg
Men,Jeans,Blue,39386.jpg
Women,Watches,Silver,59263.jpg
Men,Track Pants,Black,21379.jpg
Men,Tshirts,Grey,53759.jpg
Men,Tshirts,Grey,1855.jpg
Men,Shirts,Green,30805.jpg
Women,Shirts,Purple,26960.jpg
Men,Socks,Navy Blue,29114.jpg
Men,Watches,Black,30039.jpg
Men,Casual Shoes,Black,9204.jpg
Women,Belts,Black,48123.jpg
Men,Flip Flops,Black,18653.jpg
Women,Handbags,Blue,47957.jpg
Boys,Flip Flops,Navy Blue,46885.jpg
Men,Shirts,Purple,12369.jpg
Men,Watches,Black,29928.jpg
Girls,Tops,White,42419.jpg
Women,Bra,Beige,51832.jpg
Women,Handbags,Brown,47359.jpg
Men,Watches,Black,17429.jpg
Men,Sandals,Black,12967.jpg
Men,Sweatshirts,Grey,13089.jpg
Men,Deodorant,White,18461.jpg
Men,Formal Shoes,Black,9036.jpg
Men,Tshirts,Navy Blue,7990.jpg
Women,Lipstick,Brown,56019.jpg
Women,Handbags,Brown,21977.jpg
Men,Shirts,Navy Blue,37812.jpg
Boys,Tshirts,Green,4729.jpg
Men,Shirts,Brown,56825.jpg
Men,Casual Shoes,White,39988.jpg
Women,Flats,Black,59051.jpg
Women,Kurtas,Green,20099.jpg
Women,Handbags,White,58183.jpg
Women,Tshirts,Pink,3954.jpg
Men,Belts,Black,18839.jpg
Women,Flats,Brown,2886.jpg
Women,Kurtas,Beige,28690.jpg
Men,Sports Shoes,White,3168.jpg
Men,Shorts,Black,18005.jpg
Men,Briefs,Maroon,17871.jpg
Men,Shirts,Red,9452.jpg
Women,Belts,Black,38402.jpg
Women,Watches,White,44984.jpg
Men,Formal Shoes,Black,10268.jpg
Women,Kurtas,Brown,45856.jpg
Men,Briefs,Blue,32138.jpg
Men,Formal Shoes,Black,59435.jpg
Men,Tshirts,Black,5891.jpg
Women,Tshirts,Purple,38630.jpg
Men,Shirts,White,4943.jpg
Men,Watches,Silver,11188.jpg
Men,Tshirts,Red,10866.jpg
Women,Sarees,Grey,59607.jpg
Men,Tshirts,Black,15528.jpg
Men,Watches,Black,45258.jpg
Women,Handbags,Beige,42841.jpg
Men,Casual Shoes,Black,22198.jpg
